gameId,season,epNum,date,left,middle,right,winnerIndices
4533,3,521,1986-12-08,Lee Pritchard,Bill Ryan,Annette Freestone,[1]
4307,3,523,1986-12-10,Steven Goldstein,John Ling,David Epperson,[0]
4265,3,524,1986-12-11,Steven Goldstein,Bill Blum,Debbie Sherry,[2]
5680,3,525,1986-12-12,Debbie Sherry,Steve Baker,Adrienne Bell,[0]
5690,3,526,1986-12-15,Debbie Sherry,Phyllis McDonald,Chris Strom,[1]
5691,3,527,1986-12-16,Phyllis McDonald,Maria Lasalvia-Seliga,Eric Balaban,[0]
3568,3,528,1986-12-17,Phyllis McDonald,Frank Hughes,Judy Kilbane Koch,[1]
5619,3,530,1986-12-19,Frank Hughes,Dan Schaffer,Pat Rounds,[0]
5425,3,531,1986-12-22,Frank Hughes,Pam Bearce,David Albrecht,[0]
5721,3,532,1986-12-23,Frank Hughes,Scott Cooper,Susan Powell-Turton,[]
5759,3,533,1986-12-24,Frank Ford,Morgan Sloane,Kathleen Hagen,[0]
5720,3,537,1986-12-30,David Shear,Gerry Shefler,Steve Faber,[0]
3436,3,538,1986-12-31,David Shear,Barbara Jackson,J.C. Turner,[2]
5719,3,539,1987-01-01,J.C. Turner,Randy Jackson,Marjorie Kelly,[0]
5747,3,540,1987-01-02,J.C. Turner,David Weintraub,Keith Bell,[2]
5758,3,541,1987-01-05,Keith Bell,Charlene Hofferstad,Dale Butland,"[0, 2]"
5815,3,542,1987-01-06,Keith Bell,Dale Butland,David Dickman,[0]
5818,3,543,1987-01-07,Keith Bell,Leigh Colitre,Fran Oney,[0]
5354,3,544,1987-01-08,Keith Bell,Chris Desser,Judi Greenberg,[]
5821,3,545,1987-01-09,Patty Godon-Tann,George Neil,Mark Palmer,[2]
5830,3,547,1987-01-13,Sharon Miyasato,Mark Winburne,Janet Weymouth,[0]
4240,3,549,1987-01-15,Lance Lawson,Justin Culkowski,Sheila Halko,[1]
4247,3,550,1987-01-16,Justin Culkowski,Mike Williams,JoFrannye Reichert,[1]
4246,3,558,1987-01-28,Jim Crawford,Rex Schultz,Mary Frances Smith,[1]
4097,3,559,1987-01-29,Rex Schultz,Lindsay Franco-Ferreira,Margaret Wheeler,[0]
4244,3,560,1987-01-30,Rex Schultz,Nancy Neff,Irwin Moskowitz,[1]
3970,3,561,1987-02-02,Nancy Neff,Claude Welch,Mike Stafford,[1]
4395,3,562,1987-02-03,Claude Welch,Linda Lyle,Joel Nathanson,[2]
3943,3,563,1987-02-04,Joel Nathanson,Charlie Orlowek,Maggie Moe,"[0, 2]"
5750,3,565,1987-02-06,Joel Nathanson,Susan Kaisler,Mary Hammond,[2]
5740,3,566,1987-02-09,Mary Hammond,Paula Weissman,Jake Harlee,[2]
6089,3,569,1987-02-12,Keith Chun,Virginia Sielen,Bob White,[1]
5372,3,570,1987-02-13,Virginia Sielen,Sue O'Donnell,Lew Fox,[0]
4085,3,581,1987-03-02,Virginia Sielen,Paula Wilhelm-Naughtin,Pat Howe,[2]
4984,3,584,1987-03-05,Judy Goodnight,Keith Walker,Barbara Platz,[1]
4213,3,589,1987-03-12,John Ryan,Judith Kallen Dry,Fran La Bruto,"[0, 2]"
4214,3,590,1987-03-13,John Ryan,Fran La Bruto,Elizabeth Souders,[0]
4217,3,591,1987-03-16,John Ryan,Sara Fox,Jackson Wheeler,[0]
4219,3,592,1987-03-17,John Ryan,Brent Minor,Maggie Baker,[0]
4220,3,593,1987-03-18,John Ryan,Maxine Paley,Eric Oberhand,[0]
4083,3,596,1987-03-23,John Podhoretz,Ed Gardner,Tracy Bernstein,[0]
5997,3,600,1987-03-27,Pam Quillan,Kate Kahn,Dale Webster,[0]
3117,3,606,1987-04-06,Joel Lewin,David Roussel,Carol Childs,[1]
3118,3,607,1987-04-07,David Roussel,Woods Gleason,Jonathan Vaughan,[2]
6061,3,610,1987-04-10,Chris Walkey,Burton Boxerman,Linda Christiano,[0]
5772,3,611,1987-04-13,Chris Walkey,Bev Praver,Jim Ryan,[2]
5820,3,612,1987-04-14,Jim Ryan,Carol Jackson,Vince Scott,[0]
5733,3,614,1987-04-16,Jim Ryan,Mark Dunn,Claire Dujardin,[0]
5734,3,615,1987-04-17,Jim Ryan,Bill Johnston,Anne Hallerman,[2]
5727,3,616,1987-04-20,Anne Hallerman,Chuck Doskow,Larry Dundas,[2]
1335,3,617,1987-04-21,Larry Dundas,Susan Wilcox,Richard Cordray,[2]
1336,3,618,1987-04-22,Richard Cordray,Marian Evans Melnick,Scott Myers,[0]
1337,3,619,1987-04-23,Richard Cordray,Maureen Girr,Bob Hansen,[0]
1338,3,620,1987-04-24,Richard Cordray,Yaier Lehrer,Donna DiMesa,[0]
1339,3,621,1987-04-27,Richard Cordray,Eileen Oshinsky,Bob Peck,[]
5729,3,622,1987-04-28,Peggy Johnson,Bruce Adelstein,Nancy Adams,[1]
4275,3,623,1987-04-29,Bruce Adelstein,Richard Heft,Linda Shewey,[2]
5706,3,624,1987-04-30,Linda Shewey,Lance King,Ira Levine,[0]
6067,3,630,1987-05-08,Mark Stitham,Michael Aronson,Tim Casey,[]
4282,3,641,1987-05-25,Tim Casey,Robin Gillen,Clara Poplin,[0]
4236,3,655,1987-06-12,Jonathan Fellows,Meg Shreve,Sue Gouldley,[1]
6084,3,657,1987-06-16,Meg Shreve,Dan,Robin,[0]
5724,3,658,1987-06-17,Meg Shreve,Marty Gertsman,Theon Banos Cross,[1]
5338,3,659,1987-06-18,Marty Gertsman,Bob Verini,Kathleen Haider,[1]
5347,3,660,1987-06-19,Bob Verini,Alan Rosenberg,Linda Dragas,[0]
4407,3,661,1987-06-22,Bob Verini,Al Lewis,Emalie Brooks,[0]
3055,3,662,1987-06-23,Bob Verini,J.J. Fowell,Linda Marshall,[0]
3455,3,663,1987-06-24,Bob Verini,Larry Brown,Fran Strykowski,[]
5352,3,664,1987-06-25,Myra Backner,Ray Allex,Renee Pennington,[1]
5355,3,665,1987-06-26,Ray Allex,Cindy Skalsky,Doug Molitor,[2]
5357,3,666,1987-06-29,Doug Molitor,Debbie Ordas,Dave Eubanks,[0]
5359,3,667,1987-06-30,Doug Molitor,Carol Miller,Neil Brockman,[0]
5360,3,668,1987-07-01,Doug Molitor,Bob Rome,Patti Demerirjian,[0]
5373,3,669,1987-07-02,Doug Molitor,Carol Center,Eric Berman,[2]
5385,3,670,1987-07-03,Eric Berman,Elaine Brewer,Bill Wray,[0]
5348,3,672,1987-07-07,Eric Berman,Mary Frechette,Craig Miller,[]
5371,3,678,1987-07-15,Dale Schweinsberg,Michael Klaper,Lennie Magida,[1]
4992,4,690,1987-09-11,Ted Cooperstein,Sharon,Denny Golden,[0]
5356,4,697,1987-09-22,Roy Holliday,Peggy Friedman,David Shapiro,[0]
5340,4,702,1987-09-29,Judi Greenberg,Lance Williams,Cinthea Stahl,[2]
5696,4,703,1987-09-30,Cinthea Stahl,Colleen Patten,Heywood Sobel,[2]
5665,4,704,1987-10-01,Heywood Sobel,Eileen Harrsch,Brian Lipson,[0]
4577,4,705,1987-10-02,Heywood Sobel,Jim Terry,Dr. Betsy Suits,[1]
4283,4,709,1987-10-08,Richard Perez-Pena,Mary,Gregg Horn,[0]
5989,4,710,1987-10-09,Richard Perez-Pena,John Gose,Mary Dupuis,[0]
5387,4,712,1987-10-13,Richard Perez-Pena,Chloe Ross,Gerry Cook,[]
5672,4,713,1987-10-14,Bob Imsande,Suzee Vlk,Judi Owens,[1]
5674,4,714,1987-10-15,Suzee Vlk,Lewis Grossman,Judith Seeger,[2]
5677,4,715,1987-10-16,Judith Seeger,Barbara Herington,Neil Plakcy,[0]
5679,4,716,1987-10-19,Judith Seeger,Tim Dicarlo,Mark Allen,[0]
4911,4,717,1987-10-20,Judith Seeger,Denise Rossi,J.P. Duffy,[0]
4560,4,718,1987-10-21,Judith Seeger,Beth Phillips,Steve Ripley,[1]
4922,4,719,1987-10-22,Beth Phillips,Brian Nelson,Laura Glendinning,[0]
5022,4,720,1987-10-23,Beth Phillips,Tom Gray,John Lamb,[2]
5252,4,721,1987-10-26,John Lamb,Tim Kozel,Carol Cling,[2]
4593,4,722,1987-10-27,Carol Cling,Richard Miller,Laurel Altman,[1]
5096,4,723,1987-10-28,Richard Miller,Dave Higgins,Martha Adams,[0]
5102,4,724,1987-10-29,Richard Miller,Chris Morris,Mark Holmes,[2]
4663,4,725,1987-10-30,Mark Holmes,Alan Smith,Rich Kenney,[2]
4286,4,726,1987-11-02,Rich Kenney,Ken Freedman,Delores Teus,[1]
4568,4,727,1987-11-03,Ken Freedman,Kate Waits,Bruce Howarth,[1]
5246,4,728,1987-11-04,Kate Waits,Carmela Izzo,Elizabeth Costello,[0]
5250,4,729,1987-11-05,Kate Waits,Hallie Greenburg,Michael Moreno,[0]
4594,4,743,1987-11-25,Michael Compton,Ira Kirschner,Julie Rutherford,[1]
6081,4,747,1987-12-01,Robert Horton,"Phillip Anderson, Jr.",Jennifer Daniels,[2]
6080,4,749,1987-12-03,Elizabeth Holloway,Ingrid Nuremberg,Bob Harrenga,[2]
5702,4,750,1987-12-04,Bob Harrenga,Paul Katz,Alice Cohen,[2]
5106,4,752,1987-12-08,Alice Cohen,Ron Cratty,Sandra Gore,[2]
4559,4,753,1987-12-09,Sandra Gore,Maggie Cambron,Russ Donnelly,[0]
5111,4,754,1987-12-10,Sandra Gore,Debby Christiana,David Castro,[0]
5179,4,755,1987-12-11,Sandra Gore,John Zanier,Joanne Seran,[0]
5173,4,756,1987-12-14,Sandra Gore,Linnie Blattner,Pat McAnaney,[]
5585,4,757,1987-12-15,Stephanie Johns,Winona Phillips,Robin Maisel,[2]
2583,4,758,1987-12-16,Robin Maisel,Jody Hess,David Nagy,[2]
2584,4,759,1987-12-17,David Nagy,Tom Grant,Kathy White,[0]
5186,4,760,1987-12-18,David Nagy,Lee Steward,Ralph Biancalana,[2]
5190,4,761,1987-12-21,Ralph Biancalana,Kurt Webber,Karen Dauphin,[2]
5191,4,762,1987-12-22,Karen Dauphin,Leah Krinsky,Jeri Anderson,[2]
5752,4,763,1987-12-23,Jeri Anderson,Howard Groopman,Gary Tarpinian,[0]
4554,4,765,1987-12-25,Bea Cottrell,John Sobiski,Eben Price,[0]
6074,4,766,1987-12-28,Bea Cottrell,John Wallin,Cliff Harris,[2]
5754,4,768,1987-12-30,Barry White,Keith Jaeger,Sally Ritch,[0]
4643,4,769,1987-12-31,Barry White,Bruce Seymour,Susan Greatorex,[1]
4644,4,770,1988-01-01,Bruce Seymour,Anne Kahn,Barbara Baernstein,[0]
4645,4,771,1988-01-04,Bruce Seymour,Steven Chinn,Jamie Campbell,[0]
4646,4,772,1988-01-05,Bruce Seymour,Robert Michaels,Eric Elfman,[0]
4647,4,773,1988-01-06,Bruce Seymour,Mike Ollins,Janet Holzer,[2]
4924,4,775,1988-01-08,Janet Holzer,Sarah Workman,Bruce Wolfe,[1]
1342,4,776,1988-01-11,Sarah Workman,Leah Greenwald,Robin Hoffmann,[1]
1343,4,777,1988-01-12,Leah Greenwald,Pete Peterson,Mary Ann Meyers,[0]
1344,4,778,1988-01-13,Leah Greenwald,Jim Stevenson,Todd Leopold,[0]
1345,4,779,1988-01-14,Leah Greenwald,Debbie May,Eytan Mirsky,[0]
1346,4,780,1988-01-15,Leah Greenwald,Steve Morris,Michelle Lellouche,[]
1132,4,781,1988-01-18,Bob Bearse,Jonathan Santore,Jake Edelman,[1]
5025,4,782,1988-01-19,Jonathan Santore,Paul Tidwell,Jenny Church,[1]
2867,4,786,1988-01-25,Stephanie Scott,Lennie Edwards,Sue Kelly,[1]
4686,4,787,1988-01-26,Lennie Edwards,Steve Kravitz,Joan Kurland,[1]
4692,4,788,1988-01-27,Steve Kravitz,Cheryl Lieberman,Tom Nelson,[0]
4710,4,789,1988-01-28,Steve Kravitz,"Ernest Bonner, Jr.",Christine Beauregard,[0]
4697,4,790,1988-01-29,Steve Kravitz,Doug Petroff-Tobler,Judy Flannery,[2]
4699,4,791,1988-02-01,Judy Flannery,Barbara-Anne Eddy,Jim Costello,[1]
4702,4,792,1988-02-02,Barbara-Anne Eddy,Sue Wulfestieg,Robin Harkleroad,[0]
4704,4,793,1988-02-03,Barbara-Anne Eddy,John Yudelson,Pam Blank,[0]
4705,4,794,1988-02-04,Barbara-Anne Eddy,Cynthia Green,Karen Conley,"[0, 1]"
4709,4,795,1988-02-05,Barbara-Anne Eddy,Cynthia Green,Mike Lerner,[0]
4596,4,810,1988-02-26,Michael Shutterly,Tom Gazzola,Blanca Gallardo,[0]
5999,4,816,1988-03-07,Isaac Braddock,Hank Peddicord,Lou Kaluza,[2]
5026,4,820,1988-03-11,Jack Lowe,Ron Trigueiro,Jackie,[1]
4564,4,821,1988-03-14,Ron Trigueiro,Gary Amundson,Susan Steade,[0]
4914,4,822,1988-03-15,Ron Trigueiro,Tom Brothers,Jeanne Douglas,[0]
4928,4,823,1988-03-16,Ron Trigueiro,Scooter Lowe,Kate Coe,[0]
4733,4,824,1988-03-17,Ron Trigueiro,Michael Folz,Cheryl van Middlesworth,[2]
4946,4,825,1988-03-18,Cheryl van Middlesworth,Dan Zellman,Bob Twillman,[0]
6072,4,827,1988-03-22,Cheryl van Middlesworth,Harry Weisberger,Mary Dunne,[0]
5262,4,829,1988-03-24,Larry Frantz,Pat O'Connor,"Arthur Hanks, Jr.",[1]
5142,4,830,1988-03-25,Pat O'Connor,Margie Melby,Dave Gramling,[2]
5143,4,831,1988-03-28,Dave Gramling,Cheryl Stein,Steven Popper,[2]
5145,4,832,1988-03-29,Steven Popper,Mary Haney,Terry Sheldon,[0]
5148,4,833,1988-03-30,Steven Popper,Ron Abbott,Christine Heely,[0]
5149,4,834,1988-03-31,Steven Popper,Michael Kannellos,Daniel Lubin,[0]
5151,4,835,1988-04-01,Steven Popper,Heather Wood,Mary Jane Eager,[]
5158,4,836,1988-04-04,Cynthia Heller,Bob Sutton,Johanna Pick,[1]
5161,4,837,1988-04-05,Bob Sutton,Greg Sullivan,Marianne Durgavich,[0]
3047,4,838,1988-04-06,Bob Sutton,Peter Sagal,Joe Weidinger,[2]
3409,4,839,1988-04-07,Joe Weidinger,Rick Filloy,Bob Beers,[2]
4952,4,840,1988-04-08,Bob Beers,Gordon Brown,Ruta Larson,[0]
5029,4,842,1988-04-12,Bob Beers,Ron Karr,Dorothy Craig,[1]
4595,4,846,1988-04-18,Linda Lewis,Alan Weiss,Tom Lawrence,[2]
5681,4,847,1988-04-19,Tom Lawrence,Dale Armstrong,Fred Bernstein,[0]
6016,4,848,1988-04-20,Tom Lawrence,Sharon Keld,Matt Lieff,[0]
4566,4,851,1988-04-25,Jeff Brown,Blaze Newman,Ed Levin,[1]
4986,4,852,1988-04-26,Blaze Newman,Scott,Liz,[0]
4981,4,853,1988-04-27,Blaze Newman,Rob Pold,Dave Drew,[1]
4604,4,854,1988-04-28,Rob Pold,Mike Harris,Mario Mainero,[1]
6018,4,855,1988-04-29,Mike Harris,Steve Barto,Dennis Brent,[0]
4412,4,859,1988-05-05,Mark Lowenthal,Debra Malki,Paul Hjelmervik,[0]
4978,4,860,1988-05-06,Mark Lowenthal,Michael Edelstein,Joe Sansonese,[0]
5748,4,871,1988-05-23,Mark Lowenthal,Jack Dumpert,Elle Hood,[0]
5388,4,872,1988-05-24,Mark Lowenthal,Joshua Kosman,Bill Pawlak,[0]
4530,4,874,1988-05-26,Janelle Kauffman,Jim Berkowitz,Clyde Ayer,[1]
4600,4,875,1988-05-27,Jim Berkowitz,George Bufford,Lynn Mauk,[0]
5135,4,876,1988-05-30,Jim Berkowitz,Rob Pierce,Sharon Beattie,[0]
4601,4,877,1988-05-31,Jim Berkowitz,Ted Killory,Jack Koenig,[2]
5254,4,878,1988-06-01,Jack Koenig,Bob Palitz,Pam Brown,[0]
5256,4,879,1988-06-02,Jack Koenig,Lauri Donahue,Todd Hueta,[0]
5260,4,880,1988-06-03,Jack Koenig,Michael Rankins,Tom Hudak,[1]
5265,4,881,1988-06-06,Michael Rankins,Margaret Bellisario,Mark Meyerson,[0]
5272,4,882,1988-06-07,Michael Rankins,Bill Henner,Steve Silva,[0]
4929,4,883,1988-06-08,Michael Rankins,Paul Donnelly,Naomi Yavneh,[0]
5279,4,884,1988-06-09,Michael Rankins,Kristie Ackerman,Richard Fond,[]
5281,4,885,1988-06-10,Greg McIntosh,Stephen Lebowitz,Rick Kitchen,[1]
5285,4,886,1988-06-13,Stephen Lebowitz,Tom Straczynski,John Chivers,[0]
5288,4,887,1988-06-14,Stephen Lebowitz,Keith Richards,Charles McBride,[0]
6026,4,889,1988-06-16,Stephen Lebowitz,Jimmie Bucci,Steve Herron,[2]
6020,4,892,1988-06-21,Steve Herron,Linda Mossman,Tom Schmidt,[1]
6028,4,893,1988-06-22,Linda Mossman,Les Raff,Neil Landau,[2]
6030,4,894,1988-06-23,Neil Landau,Barbara Linn,Pierre LeBoeuf,[0]
6071,4,895,1988-06-24,Neil Landau,Robin Carter,Norman Sidebottom,[1]
6043,4,896,1988-06-27,Robin Carter,Lenny Manning,Bill Gellert,[2]
3450,4,897,1988-06-28,Bill Gellert,Lew Barlow,Brian Aronson,[0]
5768,4,898,1988-06-29,Bill Gellert,Rick Cook,Murry Cann,[1]
5775,4,899,1988-06-30,Rick Cook,Carol Reeve,Randy Waite,[1]
3451,4,902,1988-07-05,Kevin Frear,John Tranquill,Andrea Michaels,[0]
6064,4,904,1988-07-07,Kevin Frear,Susanna Betzl,Mike Harris,[]
4460,4,913,1988-07-20,Bruce Naegeli,Bryce Maritano,Christine Dibble,[0]
5361,5,930,1988-09-23,Chris Shea,Michael Greer,Susan Jones,[0]
4932,5,931,1988-09-26,Chris Shea,Mark Nelson,Marcia Johnson,[0]
4572,5,933,1988-09-28,Doak Fairey,Len Iwanski,Maureen Dever,[0]
5694,5,941,1988-10-10,Alec Iorio,Sue Nelson,Paul Katz,[0]
5710,5,942,1988-10-11,Alec Iorio,John Krahulec,Mike Myers,[0]
4491,5,944,1988-10-13,Alec Iorio,Sherry Schwabacher,Steve Biddle,[1]
4289,5,945,1988-10-14,Sherry Schwabacher,Gloria Sarver,Melinda Finberg,[0]
5666,5,946,1988-10-17,Sherry Schwabacher,Carl Rush,John Heacock,[2]
5766,5,947,1988-10-18,John Heacock,Mark Milett,Andrea Merrin,[1]
6012,5,950,1988-10-21,Harriet Helfand,Kathryn,Dennis,[0]
