season,epNum,gameId,date,contestants,info
34,7779,6004,2018-06-07,Michelle Rosen vs. Mirza Gluhic vs. Andy Mills,
34,7778,6000,2018-06-06,Joe Castro vs. Michelle Rosen vs. Sharron Jenkins,
34,7777,5998,2018-06-05,Leslie Manion vs. Joe Castro vs. Megan Beesley,
34,7776,6003,2018-06-04,Ian Booth vs. Leslie Manion vs. Tommy Fagin,
34,7775,5995,2018-06-01,Jeffrey Schwarz vs. Ian Booth vs. Dan Hess,
34,7774,5994,2018-05-31,Jeffrey Schwarz vs. Maryanne Theyerl vs. Skyler Kelemen,
34,7773,5993,2018-05-30,Jeffrey Schwarz vs. Amanda McClendon vs. Amy Cuzzolino,
34,7772,5992,2018-05-29,Virginia Cummings vs. Jeffrey Schwarz vs. Tim Young,
34,7771,5988,2018-05-28,Virginia Cummings vs. Andrea Schuelke vs. Dev Thakur,
34,7770,5987,2018-05-25,Josh Hill vs. Virginia Cummings vs. Ross Belsome,Josh Hill game 8.
34,7769,5986,2018-05-24,Josh Hill vs. Kristen Krikorian vs. Tom Campo,Josh Hill game 7.
34,7768,5985,2018-05-23,Josh Hill vs. Luke Devlin vs. Tara Yack,Josh Hill game 6.
34,7767,5984,2018-05-22,Josh Hill vs. Hermine Vermeij vs. Andrew Lai,Josh Hill game 5.
34,7766,5980,2018-05-21,Josh Hill vs. Kate Fink vs. Gary Waters,Josh Hill game 4.
34,7765,5983,2018-05-18,Claire Bishop vs. Larry Martin vs. Steve Mond,2018 Teachers Tournament final game 2.
34,7764,5982,2018-05-17,Claire Bishop vs. Larry Martin vs. Steve Mond,2018 Teachers Tournament final game 1.
34,7763,5981,2018-05-16,Larry Martin vs. Jake Allen vs. Katherine Saxby,2018 Teachers Tournament semifinal game 3.
34,7762,5979,2018-05-15,Judy Tymkiw vs. Rachel Niegelberg vs. Claire Bishop,2018 Teachers Tournament semifinal game 2.
34,7761,5978,2018-05-14,Steve Mond vs. Scott Montanaro vs. Erika Eason,2018 Teachers Tournament semifinal game 1.
34,7760,5977,2018-05-11,Jake Allen vs. Steve Mond vs. Ranjani Sheshadri,2018 Teachers Tournament quarterfinal game 5.
34,7759,5976,2018-05-10,Beth Binder vs. Indi Ekanayake vs. Katherine Saxby,2018 Teachers Tournament quarterfinal game 4.
34,7758,5975,2018-05-09,Mary Alice Korth vs. Scott Montanaro vs. Judy Tymkiw,2018 Teachers Tournament quarterfinal game 3.
34,7757,5974,2018-05-08,Erika Eason vs. Bob Julian vs. Rachel Niegelberg,2018 Teachers Tournament quarterfinal game 2.
34,7756,5973,2018-05-07,Claire Bishop vs. Lee DiGeorge vs. Larry Martin,2018 Teachers Tournament quarterfinal game 1.
34,7755,5972,2018-05-04,Josh Hill vs. Jessica Fox vs. Julie Sesnovich,Josh Hill game 3.
34,7754,5971,2018-05-03,Josh Hill vs. Melissa Anthony vs. Kurt Buhring,Josh Hill game 2.
34,7753,5970,2018-05-02,Geoff Brousseau vs. Josh Hill vs. Laura Buermann,Josh Hill game 1.
34,7752,5969,2018-05-01,Osman Syed vs. Jan Brown vs. Geoff Brousseau,
34,7751,5968,2018-04-30,Alexandra Henkoff vs. Osman Syed vs. Leslye Laderman,
34,7750,5967,2018-04-27,Carolyn Walsh vs. Tom McGinnis vs. Alexandra Henkoff,
34,7749,5966,2018-04-26,Jen Regan vs. Robert Marx vs. Carolyn Walsh,
34,7748,5965,2018-04-25,Randy Mathews vs. Jen Regan vs. Krishna Veeraraghavan,
34,7747,5959,2018-04-24,Kate Jovin vs. Randy Mathews vs. Alyssa Abel,
34,7746,5963,2018-04-23,Kristin Robbins vs. Kate Jovin vs. Rex Moroux,WE ASKED: RuPaul.
34,7745,5962,2018-04-20,William Scott vs. Hannah Sage vs. Dhruv Gaur,"2018 College Championship final game 2. During Final Jeopardy!, the..."
34,7744,5961,2018-04-19,William Scott vs. Hannah Sage vs. Dhruv Gaur,2018 College Championship final game 1.
34,7743,5960,2018-04-18,Dhruv Gaur vs. Rishab Jain vs. Alli Ross,2018 College Championship semifinal game 3.
34,7742,5955,2018-04-17,Thatcher Chonka vs. Hannah Sage vs. Eric Thorpe,2018 College Championship semifinal game 2.
34,7741,5958,2018-04-16,Rebecca Rosenthal vs. William Scott vs. Jordan Goodson,2018 College Championship semifinal game 1.
34,7740,5957,2018-04-13,Patricia Jia vs. Alli Ross vs. Eric Thorpe,2018 College Championship quarterfinal game 5.
34,7739,5956,2018-04-12,Harry Kioko vs. Rebecca Rosenthal vs. Carsen Smith,2018 College Championship quarterfinal game 4.
34,7738,5954,2018-04-11,Rishab Jain vs. William Scott vs. Caroline Trammell,2018 College Championship quarterfinal game 3.
34,7737,5953,2018-04-10,Thatcher Chonka vs. Dhruv Gaur vs. Jordan Goodson,2018 College Championship quarterfinal game 2.
34,7736,5952,2018-04-09,Josie Bianchi vs. Sheldon Lewis II vs. Hannah Sage,2018 College Championship quarterfinal game 1.
34,7735,5951,2018-04-06,Kristin Robbins vs. Andrews Landsman vs. Dominick Fiorentino,
34,7734,5950,2018-04-05,Jack Dickey vs. Kristin Robbins vs. Arielle Lipshaw,
34,7733,5949,2018-04-04,Jack Dickey vs. Lydia Disabatino vs. Michael Boss,
34,7732,5948,2018-04-03,Daniel Carden vs. Ashley Chapman vs. Jack Dickey,
34,7731,5947,2018-04-02,Emily Milan vs. Elizabeth Johnson vs. Daniel Carden,
34,7730,5946,2018-03-30,Emily Milan vs. Jen Simons vs. Tyler Morrison,
34,7729,5945,2018-03-29,Emily Milan vs. Shannan Younger vs. Alex Lopinto,
34,7728,5944,2018-03-28,Robert Dimitri vs. Joey DiNardi vs. Emily Milan,
34,7727,5939,2018-03-27,Johnny Trutor vs. Katy Rosati vs. Robert Dimitri,
34,7726,5943,2018-03-26,Tristan Mohabir vs. Vicki Cole vs. Johnny Trutor,
34,7725,5942,2018-03-23,Lynn Klyde-Allaman vs. Tristan Mohabir vs. Daniel Ludlam,
34,7724,5941,2018-03-22,Rebecca Zoshak vs. Natasha Go vs. Lynn Klyde-Allaman,
34,7723,5938,2018-03-21,Lisa Mueller vs. Rebecca Zoshak vs. Chris Frantz,
34,7722,5934,2018-03-20,Lisa Mueller vs. AJ Freeman vs. John Bizal,
34,7721,5937,2018-03-19,Rahul Gupta vs. Lisa Mueller vs. Regis Michelena,
34,7720,5936,2018-03-16,Peter Karamitsos vs. Dan Lee vs. Rahul Gupta,
34,7719,5935,2018-03-15,Peter Karamitsos vs. Tracey Hollabaugh vs. Amy Yacorzynski,
34,7718,5932,2018-03-14,Zach Dark vs. Allison Berke vs. Peter Karamitsos,
34,7717,5926,2018-03-13,Zach Dark vs. Paris Themmen vs. McKayle Bruce,
34,7716,5931,2018-03-12,Mark Ashton vs. Ashley O'Mara vs. Zach Dark,
34,7715,5930,2018-03-09,Lane Flynn vs. Megan Durazo vs. Mark Ashton,
34,7714,5929,2018-03-08,Lane Flynn vs. Hannah Ewing vs. Liz McCarthy,
34,7713,5928,2018-03-07,Jack Rice vs. Emily Perez vs. Lane Flynn,
34,7712,5924,2018-03-06,Matt Lisiecki vs. Jack Rice vs. Rob Wivchar,
34,7711,5927,2018-03-05,Matt Lisiecki vs. Shari Post vs. Jesse Darland,
34,7710,5925,2018-03-02,Laura McLean vs. Matt Lisiecki vs. Suzie Newman,
34,7709,5922,2018-03-01,Laura McLean vs. Scott Krzywonos vs. Sarah Norris,First regular-play game to end in a Tiebreaker Round.
34,7708,5921,2018-02-28,Maryann Penzvalto vs. Garan Geist vs. Laura McLean,
34,7707,5917,2018-02-27,Maryann Penzvalto vs. Amy Finkelstein vs. Paul Mitchell Kelleher,
34,7706,5920,2018-02-26,Alan Harrison vs. Maryann Penzvalto vs. Jonah Platt,
34,7705,5916,2018-02-23,Alan Harrison vs. Kate Tucci vs. Mary Kalemkerian,
34,7704,5914,2018-02-22,Rob Worman vs. Catherine Biba vs. Alan Harrison,Rob Worman game 7.
34,7703,5913,2018-02-21,Rob Worman vs. Kristy Calman vs. Bryan Brzycki,Rob Worman game 6.
34,7702,5912,2018-02-20,Rob Worman vs. John Carlson vs. Damien Marzocchi,Rob Worman game 5.
34,7701,5911,2018-02-19,Rob Worman vs. Kate Logan vs. Florence Garbini,Rob Worman game 4.
34,7700,5919,2018-02-16,Rob Worman vs. Gianna Durso-Finley vs. Vinay Kadiyala,Rob Worman game 3.
34,7699,5918,2018-02-15,Rob Worman vs. Matt Stikker vs. Shawn Ralston,Rob Worman game 2.
34,7698,5910,2018-02-14,Frank Lang vs. Rob Worman vs. Erin Matherne,Rob Worman game 1.
34,7697,5907,2018-02-13,Marty Cunningham vs. Frank Lang vs. Emily Deckenback,WE ASKED: Jay Leno.
34,7696,5906,2018-02-12,Marty Cunningham vs. Dom Granello vs. Lindsey Piesz,
34,7695,5905,2018-02-09,Marty Cunningham vs. Carlos Garcia vs. Alison Sahner,
34,7694,5904,2018-02-08,John Giambrone vs. Marty Cunningham vs. Alex Hotovy,
34,7693,5903,2018-02-07,Sean Udicious vs. Marcy Lehman vs. John Giambrone,
34,7692,5902,2018-02-06,Sean Udicious vs. Nabila Yusaf vs. Quin Lewellen,
34,7691,5901,2018-02-05,Jenny Rhodes vs. Lorie Gasior vs. Sean Udicious,
34,7690,5899,2018-02-02,Ryan Fenster vs. Caitlin Silberman vs. Jenny Rhodes,Ryan Fenster game 5-A.
34,7689,5898,2018-02-01,Ryan Fenster vs. Sara Helmers vs. Justin Earnshaw,Ryan Fenster game 4.
34,7688,5897,2018-01-31,Ryan Fenster vs. Nate Pochomis vs. Elizabeth Connor,Ryan Fenster game 3.
34,7687,5896,2018-01-30,Ryan Fenster vs. Emily Lewis vs. Brandey Chandler,Ryan Fenster game 2.
34,7686,5895,2018-01-29,Jennifer Tomassi vs. Ryan Fenster vs. Maria Pecoraro,Ryan Fenster game 1.
34,7685,5894,2018-01-26,Rachel Lindgren vs. Jennifer Tomassi vs. Melissa Stewart,Rachel Lindgren game 6.
34,7684,5893,2018-01-25,Rachel Lindgren vs. Rosie Jonker vs. Jeff Machusko,Rachel Lindgren game 5.
34,7683,5892,2018-01-24,Rachel Lindgren vs. Del Scott vs. Eric Raygor,Rachel Lindgren game 4.
34,7682,5891,2018-01-23,Rachel Lindgren vs. Alex Schindele vs. Katie Champagne,Rachel Lindgren game 3.
34,7681,5890,2018-01-22,Rachel Lindgren vs. Gerard Simonette vs. Adrianne Woodward,Rachel Lindgren game 2.
34,7680,5889,2018-01-19,Lee Quinn vs. Rachel Lindgren vs. Sarah Daly,Rachel Lindgren game 1.
34,7679,5888,2018-01-18,Lee Quinn vs. Ryan Graham vs. Marilyn Rose,
34,7678,5887,2018-01-17,Gilbert Collins vs. Amanda Griggs vs. Lee Quinn,Gilbert Collins game 6.
34,7677,5883,2018-01-16,Gilbert Collins vs. Olivia Ochoa vs. David Rosen,Gilbert Collins game 5.
34,7676,5882,2018-01-15,Gilbert Collins vs. Steve Garbacz vs. Tyler Miksanek,"Gilbert Collins game 4.
WE ASKED: Iain Armitage."
34,7675,5881,2018-01-12,Gilbert Collins vs. Alex Cook vs. Alisha Mathalikunnel,Gilbert Collins game 3.
34,7674,5880,2018-01-11,Gilbert Collins vs. Julie Zauzmer vs. Rebecca Zoshak,Gilbert Collins game 2. A poorly-worded Final Jeopardy! clue disadvantages...
34,7673,5879,2018-01-10,Lindsay Resnick vs. Gilbert Collins vs. Flora Leen,Gilbert Collins game 1.
34,7672,5878,2018-01-09,Brandon Brooks vs. Lindsay Resnick vs. Matt Brannagan,
34,7671,5876,2018-01-08,Brandon Brooks vs. Jamie Rosler vs. Dave Daniel,
34,7670,5874,2018-01-05,Sean Sullivan vs. Brandon Brooks vs. Claudia Hochstein,
34,7669,5873,2018-01-04,Steph Bundy vs. Sean Sullivan vs. Meghan Whalen,
34,7668,5872,2018-01-03,Saralee Etter vs. Steph Bundy vs. Michael Shockley,
34,7667,5871,2018-01-02,Nick Spicher vs. Saralee Etter vs. Olev Jaakson,
34,7666,5870,2018-01-01,Henry Ayoola vs. Lisa McAndrews vs. Nick Spicher,
34,7665,5869,2017-12-29,Travis Rojakovick vs. Henry Ayoola vs. Gwynedd Stuart,WE ASKED: Stan Lee.
34,7664,5868,2017-12-28,Kevin Foley vs. Vaishali Shetty vs. Travis Rojakovick,
34,7663,5867,2017-12-27,Ami Li vs. Kevin Foley vs. Sarah Walsh,
34,7662,5866,2017-12-26,Natalie Ballas vs. Cary Bonnell vs. Ami Li,
34,7661,5865,2017-12-25,Donna Brown vs. Natalie Ballas vs. Charlie Harless,
34,7660,5864,2017-12-22,Johnny Leon vs. Donna Brown vs. Zach Heinen,
34,7659,5863,2017-12-21,Kate O’Connor vs. Eileen Palmer vs. Johnny Leon,
34,7658,5862,2017-12-20,Kate O’Connor vs. Remy Timbrook vs. Justin Bourassa,
34,7657,5861,2017-12-19,Kate O’Connor vs. Lisa Beth Davis vs. Jordan Garroway,WE ASKED: Leonard Maltin.
34,7656,5860,2017-12-18,Denise Littlejohn vs. Ben Cosman vs. Kate O’Connor,
34,7655,5858,2017-12-15,Craig Tollin vs. Kiersten Brown vs. Denise Littlejohn,
34,7654,5857,2017-12-14,Bryce Johnson vs. Craig Tollin vs. Brennan Summers,
34,7653,5856,2017-12-13,LaKedra Pam vs. Rachel Schemmel vs. Bryce Johnson,
34,7652,5854,2017-12-12,LaKedra Pam vs. Ian Shin vs. Sarah Woodring,
34,7651,5853,2017-12-11,Ben Raphel vs. Charlie Santiuste vs. LaKedra Pam,
34,7650,5852,2017-12-08,Kyle Becker vs. Laura Miller vs. Ben Raphel,
34,7649,5851,2017-12-07,Kyle Becker vs. Katia Noll vs. Joe Gaspard,
34,7648,5850,2017-12-06,Kyle Becker vs. Lindsay Norsworthy vs. Eric Dravland,
34,7647,5849,2017-12-05,Kyle Becker vs. Matthias Clark vs. Kimberly Kist,
34,7646,5848,2017-12-04,Lisa Kristina vs. Alice Pelletier vs. Kyle Becker,
34,7645,5847,2017-12-01,Lisa Kristina vs. Tal Kedem vs. Melissa Fall,
34,7644,5845,2017-11-30,Matt Preston vs. Lily Gebrenegus vs. Lisa Kristina,
34,7643,5844,2017-11-29,Matt Preston vs. Missy Meyer vs. Shawn Adler,
34,7642,5842,2017-11-28,Marcus Gresham vs. Amanda Barlau vs. Matt Preston,
34,7641,5841,2017-11-27,Marcus Gresham vs. Hilary Fried vs. Caity Willox,
34,7640,5846,2017-11-24,Jesse Parks vs. Marcus Gresham vs. Jennifer Chang,
34,7639,5843,2017-11-23,Kiana Nakamura vs. Liz Schultz vs. Jesse Parks,
34,7638,5840,2017-11-22,Kiana Nakamura vs. Jim Eckess vs. Kelsey Van Bokkem,
34,7637,5837,2017-11-21,Eric Maher vs. Kiana Nakamura vs. Wilbur Farley,
34,7636,5836,2017-11-20,Kara Chandler vs. Eric Maher vs. Alex Jumper,
34,7635,5835,2017-11-17,Buzzy Cohen vs. Alan Lin vs. Austin Rogers,2017 Tournament of Champions final game 2.
34,7634,5834,2017-11-16,Buzzy Cohen vs. Alan Lin vs. Austin Rogers,2017 Tournament of Champions final game 1.
34,7633,5833,2017-11-15,Alan Lin vs. Pranjal Vachaspati vs. Tim Aten,2017 Tournament of Champions semifinal game 3.
34,7632,5832,2017-11-14,Buzzy Cohen vs. Jason Sterlacci vs. Lisa Schlitt,2017 Tournament of Champions semifinal game 2.
34,7631,5831,2017-11-13,Andrew Pau vs. Austin Rogers vs. Lilly Chin,2017 Tournament of Champions semifinal game 1.
34,7630,5829,2017-11-10,Andrew Pau vs. Justin Vossler vs. Jon Eisenman,2017 Tournament of Champions quarterfinal game 5.
34,7629,5828,2017-11-09,Seth Wilson vs. Lisa Schlitt vs. Sam Deutsch,2017 Tournament of Champions quarterfinal game 4.
34,7628,5827,2017-11-08,Austin Rogers vs. Alan Lin vs. David Clemmons,2017 Tournament of Champions quarterfinal game 3.
34,7627,5826,2017-11-07,Tim Aten vs. Lilly Chin vs. Jason Sterlacci,2017 Tournament of Champions quarterfinal game 2.
34,7626,5825,2017-11-06,Buzzy Cohen vs. Hunter Appler vs. Pranjal Vachaspati,2017 Tournament of Champions quarterfinal game 1.
34,7625,5824,2017-11-03,Monica Ashar vs. Kara Chandler vs. Nicole Jarvis,
34,7624,5823,2017-11-02,Jenny Wrigley vs. Monica Ashar vs. Kelvin Smith,
34,7623,5822,2017-11-01,Anand Kandaswamy vs. Rahul Jain vs. Jenny Wrigley,
34,7622,5817,2017-10-31,Anand Kandaswamy vs. Patrick Theobald vs. Byron Merrill,
34,7621,5816,2017-10-30,Anand Kandaswamy vs. Charles Yu vs. Morgan Hanson,
34,7620,5813,2017-10-27,Erica Irving vs. Ashley Phillips vs. Anand Kandaswamy,
34,7619,5812,2017-10-26,Nan Bauer vs. Erica Irving vs. Phil Kohn,
34,7618,5811,2017-10-25,Nan Bauer vs. Edgar Castillo vs. Mary Grace Buckley,
34,7617,5809,2017-10-24,Nan Bauer vs. Kristina Witzling vs. Rod Swain,
34,7616,5807,2017-10-23,Kathleen Kosman vs. Marcus Leung vs. Nan Bauer,
34,7615,5806,2017-10-20,Tom Blake vs. Tim Suba vs. Kathleen Kosman,
34,7614,5805,2017-10-19,Joanna Kimmitt vs. Justin Broughman vs. Tom Blake,
34,7613,5804,2017-10-18,Manny Abell vs. Joanna Kimmitt vs. Chelsea Feltman,
34,7612,5802,2017-10-17,Manny Abell vs. Carlos Nobleza Posas vs. Fran Fried,Manny Abell wins with $1.
34,7611,5801,2017-10-16,Manny Abell vs. Emily Wilson vs. Jayanthi Martins,
34,7610,5800,2017-10-13,Scarlett Sims vs. Manny Abell vs. Michelle Kritselis,
34,7609,5799,2017-10-12,Austin Rogers vs. Scarlett Sims vs. Sean Chong,Austin Rogers game 13.
34,7608,5798,2017-10-11,Austin Rogers vs. Lisa Rhae Burgess vs. Brian Kato,Austin Rogers game 12.
34,7607,5797,2017-10-10,Austin Rogers vs. Chris Cardinal vs. Sarah Favorite,Austin Rogers game 11.
34,7606,5796,2017-10-09,Austin Rogers vs. Rich Coble vs. Rain Dunaway,Austin Rogers game 10. The dividers between the players used...
34,7605,5795,2017-10-06,Austin Rogers vs. Rebekah Smith vs. Diana McInnis,Austin Rogers game 9.
34,7604,5794,2017-10-05,Austin Rogers vs. Todd McCafferty vs. Cathy Subick,Austin Rogers game 8.
34,7603,5793,2017-10-04,Austin Rogers vs. Marguerite Moran vs. Jay Hancock,Austin Rogers game 7.
34,7602,5792,2017-10-03,Austin Rogers vs. Amy Servat vs. Ryan Hughey,Austin Rogers game 6.
34,7601,5791,2017-10-02,Austin Rogers vs. Veryl Gambino vs. Bonnie Leih,Austin Rogers game 5.
34,7600,5790,2017-09-29,Austin Rogers vs. Colin O’Bannon vs. Jim Bickford,Austin Rogers game 4.
34,7599,5789,2017-09-28,Austin Rogers vs. Emily Dumas vs. Robert Barron,Austin Rogers game 3.
34,7598,5788,2017-09-27,Austin Rogers vs. Pasha Paterson vs. Jennie Floyd,Austin Rogers game 2.
34,7597,5787,2017-09-26,Dennis Fawcett vs. Tina Doppler vs. Austin Rogers,Austin Rogers game 1.
34,7596,5786,2017-09-25,Ivan Plis vs. Anupama Srirangan vs. Dennis Fawcett,
34,7595,5785,2017-09-22,Betsy Knudson vs. Lauren Cusitello vs. Ivan Plis,
34,7594,5784,2017-09-21,Betsy Knudson vs. Thom Page vs. Diane Esemplare,
34,7593,5783,2017-09-20,Betsy Knudson vs. Justin Torello vs. Julie Roth,
34,7592,5782,2017-09-19,Angela Ward vs. Betsy Knudson vs. Farhad Mahmoudi,
34,7591,5781,2017-09-18,Ellen Wernecke vs. Andy Hyland vs. Angela Ward,
34,7590,5780,2017-09-15,Ellen Wernecke vs. Sarah Reisert vs. Julien Corven,
34,7589,5779,2017-09-14,Jen Sosnowski vs. Ellen Wernecke vs. Larry Coben,
34,7588,5778,2017-09-13,Laura Kelsay vs. Jen Sosnowski vs. Jay Olman,
34,7587,5777,2017-09-12,Laura Kelsay vs. Linda Shaver-Gleason vs. Chris Fennell,
34,7586,5776,2017-09-11,Shadi Peterman vs. Laura Kelsay vs. Andrew Clyne,"First game of Season 34.
New title graphics."
33,7585,5757,2017-07-28,Shadi Peterman vs. Mary Duffy vs. Dan Viafore,Last game of Season 33.
33,7584,5755,2017-07-27,Justin Vossler vs. Ryan Kious vs. Shadi Peterman,Justin Vossler game 6.
33,7583,5753,2017-07-26,Justin Vossler vs. Seth Cope vs. Kellie Packwood,Justin Vossler game 5.
33,7582,5751,2017-07-25,Justin Vossler vs. Mackenzie Brooks vs. Catherine Meeker,Justin Vossler game 4.
33,7581,5749,2017-07-24,Justin Vossler vs. Emily Bridges vs. Shannon Hindahl,Justin Vossler game 3.
33,7580,5746,2017-07-21,Justin Vossler vs. George Buri vs. Connie Rudd,Justin Vossler game 2.
33,7579,5745,2017-07-20,Deborah Elliott vs. Justin Vossler vs. Doug Groshart,Justin Vossler game 1.
33,7578,5744,2017-07-19,Deborah Elliott vs. Nancy Bauer vs. Keith Fudge,
33,7577,5739,2017-07-18,Deborah Elliott vs. Darcy Shapiro vs. Martin Chetlen,
33,7576,5737,2017-07-17,Gavin Borchert vs. Deborah Elliott vs. Graydon Mears,
33,7575,5735,2017-07-14,Gavin Borchert vs. Larissa Dizon vs. Vicky Smith,
33,7574,5732,2017-07-13,Gavin Borchert vs. Terry Hanlon vs. Jill Staunton,
33,7573,5730,2017-07-12,Kelly Lasiter vs. Gavin Borchert vs. Sara-Jane Whitaker,
33,7572,5725,2017-07-11,Rich Blashka vs. Scott Simpson vs. Kelly Lasiter,
33,7571,5723,2017-07-10,Susan Corica vs. Alyssa Mondelli vs. Rich Blashka,
